Ticket,Open Time,Type,Volume,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
41161533,2023.12.22 13:27:02,sell,0.05,eurusd,1.10189,0,1.10143,2023.12.22 13:30:33,1.10137,-0.3,0,0,2.6
41161551,2023.12.22 13:28:01,sell,0.05,eurusd,1.10212,0,1.10143,2023.12.22 13:30:33,1.10137,-0.3,0,0,3.75
41161567,2023.12.22 13:29:01,sell,0.05,eurusd,1.10223,0,1.10143,2023.12.22 13:30:33,1.10137,-0.3,0,0,4.3
41161584,2023.12.22 13:31:01,sell,0.05,eurusd,1.10134,0,1.1008,2023.12.22 13:31:11,1.1008,-0.3,0,0,2.7
41161587,2023.12.22 13:31:01,buy,0.15,eurusd,1.10137,0,1.10267,2023.12.22 13:53:05,1.10267,-0.9,0,0,19.5
41161648,2023.12.22 13:32:08,buy,0.15,eurusd,1.10091,0,1.10267,2023.12.22 13:53:05,1.10267,-0.9,0,0,26.4
41161694,2023.12.22 13:33:17,sell,0.05,eurusd,1.10068,0,1.1024,2023.12.22 15:31:38,1.10237,-0.3,0,0,-8.45
41161698,2023.12.22 13:33:17,buy,0.15,eurusd,1.10069,0,1.10267,2023.12.22 13:53:05,1.10267,-0.9,0,0,29.7
41161726,2023.12.22 13:34:08,sell,0.05,eurusd,1.10107,0,1.1024,2023.12.22 15:31:38,1.10237,-0.3,0,0,-6.5
41161745,2023.12.22 13:35:08,sell,0.05,eurusd,1.10149,0,1.1024,2023.12.22 15:31:38,1.10237,-0.3,0,0,-4.4
41161765,2023.12.22 13:37:01,sell,0.05,eurusd,1.10207,0,1.1024,2023.12.22 15:31:38,1.10237,-0.3,0,0,-1.5
41161795,2023.12.22 13:42:00,sell,0.05,eurusd,1.10197,0,1.1024,2023.12.22 15:31:38,1.10237,-0.3,0,0,-2
41161813,2023.12.22 13:43:00,sell,0.05,eurusd,1.10228,0,1.1024,2023.12.22 15:31:38,1.10237,-0.3,0,0,-0.45
41161839,2023.12.22 13:47:00,sell,0.05,eurusd,1.10218,0,1.1024,2023.12.22 15:31:38,1.10237,-0.3,0,0,-0.95
41161856,2023.12.22 13:48:03,sell,0.05,eurusd,1.10245,0,1.1024,2023.12.22 15:31:38,1.10237,-0.3,0,0,0.4
41161887,2023.12.22 13:53:07,sell,0.05,eurusd,1.1027,0,1.1024,2023.12.22 15:31:38,1.10237,-0.3,0,0,1.65
41161902,2023.12.22 13:54:09,buy,0.05,eurusd,1.10264,0,1.10318,2023.12.22 14:02:15,1.10318,-0.3,0,0,2.7
41161916,2023.12.22 13:55:01,sell,0.05,eurusd,1.10265,0,1.1024,2023.12.22 15:31:38,1.10237,-0.3,0,0,1.4
41161934,2023.12.22 13:56:07,sell,0.1,eurusd,1.10282,0,1.1024,2023.12.22 15:31:38,1.10237,-0.6,0,0,4.5
41161955,2023.12.22 13:58:01,buy,0.05,eurusd,1.10262,0,1.10318,2023.12.22 14:02:15,1.10318,-0.3,0,0,2.8
41161974,2023.12.22 14:00:16,sell,0.1,eurusd,1.10302,0,1.1024,2023.12.22 15:31:38,1.10237,-0.6,0,0,6.5
41161997,2023.12.22 14:03:18,buy,0.05,eurusd,1.1031,0,1.10368,2023.12.22 14:05:54,1.10368,-0.3,0,0,2.9
41162001,2023.12.22 14:03:18,sell,0.1,eurusd,1.10308,0,1.1024,2023.12.22 15:31:38,1.10237,-0.6,0,0,7.1
41162028,2023.12.22 14:04:04,sell,0.1,eurusd,1.10332,0,1.1024,2023.12.22 15:31:38,1.10237,-1,0,0,9.5
41162042,2023.12.22 14:05:04,sell,0.02,eurusd,1.10345,0,1.1024,2023.12.22 15:31:38,1.10236,-0.2,0,0,2.18
41162058,2023.12.22 14:06:04,buy,0.01,eurusd,1.10365,0,1.10372,2023.12.22 14:42:23,1.10372,-0.1,0,0,0.07
41162072,2023.12.22 14:06:05,sell,0.02,eurusd,1.10362,0,1.1024,2023.12.22 15:31:38,1.10236,-0.2,0,0,2.52
41162088,2023.12.22 14:07:04,buy,0.01,eurusd,1.10354,0,1.10372,2023.12.22 14:42:23,1.10372,-0.1,0,0,0.18
41162104,2023.12.22 14:08:00,sell,0.02,eurusd,1.10371,0,1.1024,2023.12.22 15:31:38,1.10236,-0.2,0,0,2.7
41162120,2023.12.22 14:09:00,sell,0.02,eurusd,1.10389,0,1.1024,2023.12.22 15:31:38,1.10236,-0.2,0,0,3.06
41162140,2023.12.22 14:11:15,buy,0.01,eurusd,1.10339,0,1.10372,2023.12.22 14:42:23,1.10372,-0.1,0,0,0.33
41162157,2023.12.22 14:12:02,buy,0.01,eurusd,1.10327,0,1.10372,2023.12.22 14:42:23,1.10372,-0.1,0,0,0.45
41162174,2023.12.22 14:13:02,buy,0.01,eurusd,1.10322,0,1.10372,2023.12.22 14:42:23,1.10372,-0.1,0,0,0.5
41162223,2023.12.22 14:15:08,buy,0.01,eurusd,1.10308,0,1.10372,2023.12.22 14:42:23,1.10372,-0.1,0,0,0.64
41162238,2023.12.22 14:16:01,buy,0.01,eurusd,1.10302,0,1.10372,2023.12.22 14:42:23,1.10372,-0.1,0,0,0.7
41162280,2023.12.22 14:24:07,buy,0.01,eurusd,1.10287,0,1.10372,2023.12.22 14:42:23,1.10372,-0.1,0,0,0.85
41162295,2023.12.22 14:25:13,buy,0.01,eurusd,1.10266,0,1.10372,2023.12.22 14:42:23,1.10372,-0.1,0,0,1.06
41162316,2023.12.22 14:27:03,buy,0.01,eurusd,1.10266,0,1.10372,2023.12.22 14:42:23,1.10372,-0.1,0,0,1.06
41162414,2023.12.22 14:43:01,buy,0.01,eurusd,1.10387,0,1.10218,2023.12.25 23:29:09,1.10217,-0.1,0,-0.22,-1.7
41162430,2023.12.22 14:44:03,buy,0.01,eurusd,1.10381,0,1.10218,2023.12.25 23:29:09,1.10217,-0.1,0,-0.22,-1.64
41162446,2023.12.22 14:45:02,buy,0.01,eurusd,1.10374,0,1.10218,2023.12.25 23:29:09,1.10217,-0.1,0,-0.22,-1.57
41162462,2023.12.22 14:46:06,buy,0.01,eurusd,1.10371,0,1.10218,2023.12.25 23:29:09,1.10217,-0.1,0,-0.22,-1.54
41162484,2023.12.22 14:50:15,sell,0.02,eurusd,1.10399,0,1.1024,2023.12.22 15:31:38,1.10236,-0.2,0,0,3.26
41162518,2023.12.22 14:58:03,buy,0.01,eurusd,1.10373,0,1.10218,2023.12.25 23:29:09,1.10216,-0.1,0,-0.22,-1.57
41162535,2023.12.22 15:01:04,buy,0.01,eurusd,1.10368,0,1.10218,2023.12.25 23:29:09,1.10217,-0.1,0,-0.22,-1.51
41162573,2023.12.22 15:10:08,buy,0.01,eurusd,1.10359,0,1.10218,2023.12.25 23:29:09,1.10217,-0.1,0,-0.22,-1.42
41162587,2023.12.22 15:11:02,buy,0.01,eurusd,1.10365,0,1.10218,2023.12.25 23:29:09,1.10217,-0.1,0,-0.22,-1.48
41162614,2023.12.22 15:16:13,buy,0.01,eurusd,1.10342,0,1.10218,2023.12.25 23:29:09,1.10217,-0.1,0,-0.22,-1.25
41162636,2023.12.22 15:20:13,buy,0.01,eurusd,1.10311,0,1.10218,2023.12.25 23:29:09,1.10217,-0.1,0,-0.22,-0.94
41162652,2023.12.22 15:21:06,buy,0.02,eurusd,1.10304,0,1.10218,2023.12.25 23:29:09,1.10217,-0.2,0,-0.44,-1.74
41162672,2023.12.22 15:22:14,buy,0.02,eurusd,1.10294,0,1.10218,2023.12.25 23:29:09,1.10217,-0.2,0,-0.44,-1.54
41162686,2023.12.22 15:23:07,buy,0.02,eurusd,1.10289,0,1.10218,2023.12.25 23:29:09,1.10217,-0.2,0,-0.44,-1.44
41162704,2023.12.22 15:25:23,buy,0.02,eurusd,1.10265,0,1.10218,2023.12.25 23:29:09,1.10217,-0.2,0,-0.44,-0.96
41162720,2023.12.22 15:26:11,buy,0.02,eurusd,1.10252,0,1.10218,2023.12.25 23:29:09,1.10217,-0.2,0,-0.44,-0.7
41162744,2023.12.22 15:31:05,buy,0.02,eurusd,1.10248,0,1.10218,2023.12.25 23:29:09,1.10217,-0.2,0,-0.44,-0.62
41162762,2023.12.22 15:32:03,buy,0.02,eurusd,1.1024,0,1.10218,2023.12.25 23:29:09,1.10216,-0.2,0,-0.44,-0.48
41162795,2023.12.22 15:39:10,buy,0.02,eurusd,1.10237,0,1.10218,2023.12.25 23:29:09,1.10217,-0.2,0,-0.44,-0.4
41162811,2023.12.22 15:40:04,buy,0.02,eurusd,1.1023,0,1.10218,2023.12.25 23:29:09,1.10216,-0.2,0,-0.44,-0.28
41162825,2023.12.22 15:40:05,sell,0.01,eurusd,1.10229,0,1.10178,2023.12.22 15:45:11,1.10178,-0.1,0,0,0.51
41162839,2023.12.22 15:41:08,buy,0.02,eurusd,1.10224,0,1.10218,2023.12.25 23:29:09,1.10217,-0.2,0,-0.44,-0.14
